"COMMISSION VERIFICATION REPORT"
"Generated:","2025-09-15T03:39:06.941Z"

"SUMMARY"
"Total Transactions:","280"
"Total States:","7"
"Calculated Commission:","$1979.13"
"Reported Commission:","$300.84"
"Difference:","$1678.29"
"State Bonuses:","$300.00"

"STATE ANALYSIS"
"State","Total Sales","Tier","Commission","Reported","Bonus","Transactions"
"OR","$21898.20","tier2","$317.50","$15.66","$100.00","72"
"CA","$31670.41","tier2","$407.12","$41.09","$100.00","91"
"WA","$34670.05","tier2","$680.47","$236.11","$100.00","77"
"SD","$5413.49","tier1","$121.92","$7.98","$0.00","24"
"AZ","$7031.00","tier1","$140.62","$0.00","$0.00","4"
"MT","$117.96","tier1","$3.54","$0.00","$0.00","3"
"UT","$265.54","tier1","$7.97","$0.00","$0.00","9"

"DISCREPANCIES"
"Invoice","State","Calculated","Reported","Difference"
"0349650","OR","$1.07","$0.00","$1.07"
"0349650","OR","$3.54","$0.00","$3.54"
"0349650","OR","$0.90","$0.00","$0.90"
"0349651","OR","$0.71","$0.00","$0.71"
"0349766","OR","$3.49","$0.00","$3.49"
"0349900","OR","$1.47","$0.00","$1.47"
"0349900","OR","$0.12","$0.00","$0.12"
"0349900","OR","$13.47","$0.00","$13.47"
"0349932","OR","$0.53","$0.00","$0.53"
"0348067","CA","$0.39","$0.00","$0.39"
"0348067","CA","$1.52","$3.04","$-1.52"
"0348067","CA","$1.05","$0.00","$1.05"
"0348067","CA","$0.21","$0.00","$0.21"
"0348067","CA","$0.09","$0.00","$0.09"
"0348067","CA","$1.35","$0.00","$1.35"
"0348067","CA","$19.80","$0.00","$19.80"
"0348508","CA","$1.00","$0.00","$1.00"
"0348508","CA","$0.66","$0.00","$0.66"
"0348508","CA","$0.93","$0.00","$0.93"
"0348508","CA","$1.08","$0.00","$1.08"
"0348508","CA","$0.27","$0.00","$0.27"
"0348508","CA","$1.26","$0.00","$1.26"
"0348508","CA","$2.90","$0.00","$2.90"
"0348508","CA","$0.54","$1.08","$-0.54"
"0348508","CA","$1.08","$2.15","$-1.07"
"0348508","CA","$0.90","$1.80","$-0.90"
"0348508","CA","$0.90","$1.80","$-0.90"
"0348508","CA","$1.50","$3.00","$-1.50"
"0348508","CA","$1.79","$3.59","$-1.79"
"0348508","CA","$3.00","$0.00","$3.00"
"0348508","CA","$1.78","$0.00","$1.78"
"0348508","CA","$3.08","$0.00","$3.08"
"0348587","CA","$0.99","$0.00","$0.99"
"0348587","CA","$19.80","$0.00","$19.80"
"0348587","CA","$0.18","$0.00","$0.18"
"0348587","CA","$0.62","$0.00","$0.62"
"0348587","CA","$0.44","$0.00","$0.44"
"0348587","CA","$1.18","$2.36","$-1.18"
"0348587","CA","$0.80","$0.00","$0.80"
"0348587","CA","$0.94","$0.00","$0.94"
"0348702","CA","$1.18","$2.36","$-1.18"
"0348795","CA","$1.39","$0.00","$1.39"
"0348795","CA","$2.55","$0.00","$2.55"
"0348795","CA","$2.40","$0.00","$2.40"
"0348795","CA","$1.56","$0.00","$1.56"
"0348795","CA","$0.44","$0.00","$0.44"
"0348795","CA","$1.17","$0.00","$1.17"
"0348795","CA","$0.85","$1.70","$-0.85"
"0348795","CA","$3.94","$0.00","$3.94"
"0348795","CA","$6.34","$0.00","$6.34"
"0348795","CA","$0.45","$0.00","$0.45"
"0348795","CA","$1.04","$2.08","$-1.04"
"0348795","CA","$6.00","$12.00","$-6.00"
"0349047","CA","$1.12","$0.00","$1.12"
"0349168","CA","$0.66","$0.00","$0.66"
"0349168","CA","$0.54","$0.00","$0.54"
"0349168","CA","$2.88","$0.00","$2.88"
"0349508","CA","$19.02","$0.00","$19.02"
"0349508","CA","$8.00","$0.00","$8.00"
"0349508","CA","$0.96","$0.00","$0.96"
"0349508","CA","$10.80","$0.00","$10.80"
"0349566","CA","$0.98","$0.00","$0.98"
"0349566","CA","$1.05","$0.00","$1.05"
"0349566","CA","$1.05","$0.00","$1.05"
"0349566","CA","$1.10","$0.00","$1.10"
"0349566","CA","$1.13","$2.25","$-1.13"
"0349566","CA","$0.32","$0.00","$0.32"
"0349566","CA","$0.50","$0.00","$0.50"
"0349566","CA","$0.40","$0.00","$0.40"
"0349566","CA","$0.66","$0.00","$0.66"
"0349567","CA","$0.16","$0.32","$-0.16"
"0349567","CA","$0.79","$0.00","$0.79"
"0349567","CA","$1.59","$0.00","$1.59"
"0349850","CA","$11.41","$0.00","$11.41"
"0349850","CA","$8.76","$0.00","$8.76"
"0349850","CA","$3.63","$0.00","$3.63"
"0349850","CA","$13.70","$0.00","$13.70"
"0349850","CA","$11.16","$0.00","$11.16"
"0349850","CA","$43.68","$0.00","$43.68"
"0349850","CA","$9.07","$0.00","$9.07"
"0349850","CA","$1.75","$0.00","$1.75"
"0349983","CA","$0.45","$0.00","$0.45"
"0349983","CA","$7.19","$0.00","$7.19"
"0348508","CA","$9.28","$0.00","$9.28"
"0348508","CA","$1.74","$0.00","$1.74"
"0348508","CA","$6.76","$0.00","$6.76"
"0348587","CA","$0.40","$0.00","$0.40"
"0348795","CA","$11.40","$0.00","$11.40"
"0349566","CA","$23.00","$0.00","$23.00"
"0349566","CA","$3.64","$0.00","$3.64"
"0349566","CA","$4.81","$0.00","$4.81"
"0349568","CA","$2.80","$0.00","$2.80"
"0349568","CA","$3.20","$0.00","$3.20"
"0349568","CA","$3.92","$0.00","$3.92"
"0349568","CA","$0.41","$0.00","$0.41"
"0349568","CA","$0.82","$0.00","$0.82"
"0349746","CA","$21.00","$0.00","$21.00"
"0349850","CA","$4.20","$0.00","$4.20"
"0349850","CA","$2.83","$0.00","$2.83"
"0348312","WA","$14.10","$0.00","$14.10"
"0348312","WA","$8.09","$0.00","$8.09"
"0348312","WA","$4.50","$0.00","$4.50"
"0348312","WA","$2.22","$4.45","$-2.23"
"0348312","WA","$27.11","$54.23","$-27.11"
"0348312","WA","$9.90","$19.80","$-9.90"
"0348312","WA","$5.71","$0.00","$5.71"
"0348662","WA","$0.52","$0.00","$0.52"
"0348662","WA","$0.19","$0.38","$-0.19"
"0348662","WA","$18.91","$37.82","$-18.91"
"0348662","WA","$0.05","$0.00","$0.05"
"0348662","WA","$1.20","$0.00","$1.20"
"0348662","WA","$1.44","$0.00","$1.44"
"0348662","WA","$0.54","$0.00","$0.54"
"0348802","WA","$1.48","$0.00","$1.48"
"0348802","WA","$3.86","$0.00","$3.86"
"0348809","WA","$4.56","$9.11","$-4.55"
"0348900","WA","$15.40","$30.80","$-15.40"
"0348900","WA","$5.00","$0.00","$5.00"
"0348907","WA","$13.20","$0.00","$13.20"
"0348907","WA","$1.12","$0.00","$1.12"
"0348907","WA","$0.49","$0.00","$0.49"
"0348907","WA","$1.82","$0.00","$1.82"
"0349539","WA","$11.50","$0.00","$11.50"
"0349539","WA","$9.90","$19.80","$-9.90"
"0349539","WA","$7.19","$0.00","$7.19"
"0349539","WA","$1.95","$0.00","$1.95"
"0349539","WA","$11.50","$0.00","$11.50"
"0349569","WA","$6.94","$0.00","$6.94"
"0349569","WA","$2.66","$0.00","$2.66"
"0349569","WA","$2.50","$0.00","$2.50"
"0349569","WA","$1.55","$0.00","$1.55"
"0349569","WA","$0.97","$0.00","$0.97"
"0349569","WA","$0.70","$0.00","$0.70"
"0349569","WA","$0.56","$0.00","$0.56"
"0349569","WA","$1.13","$2.25","$-1.13"
"0349569","WA","$1.44","$0.00","$1.44"
"0349569","WA","$1.50","$0.00","$1.50"
"0349569","WA","$1.44","$0.00","$1.44"
"0349880","WA","$2.17","$0.00","$2.17"
"0349880","WA","$0.82","$0.00","$0.82"
"0349880","WA","$12.61","$25.22","$-12.61"
"0349880","WA","$5.38","$10.75","$-5.37"
"0349880","WA","$1.18","$0.00","$1.18"
"0349880","WA","$0.90","$0.00","$0.90"
"0349880","WA","$0.36","$0.72","$-0.36"
"0348312","WA","$6.13","$0.00","$6.13"
"0348312","WA","$0.16","$0.00","$0.16"
"0348312","WA","$1.74","$0.00","$1.74"
"0348662","WA","$7.20","$0.00","$7.20"
"0348662","WA","$0.78","$0.00","$0.78"
"0348662","WA","$4.00","$0.00","$4.00"
"0348662","WA","$2.40","$0.00","$2.40"
"0348662","WA","$2.40","$0.00","$2.40"
"0348809","WA","$37.78","$0.00","$37.78"
"0348809","WA","$4.20","$0.00","$4.20"
"0348900","WA","$4.00","$0.00","$4.00"
"0348907","WA","$27.60","$0.00","$27.60"
"0349539","WA","$1.60","$0.00","$1.60"
"0349569","WA","$10.37","$0.00","$10.37"
"0349569","WA","$0.44","$0.00","$0.44"
"0349569","WA","$0.63","$0.00","$0.63"
"0349569","WA","$0.21","$0.00","$0.21"
"0349569","WA","$0.48","$0.00","$0.48"
"0349569","WA","$0.36","$0.00","$0.36"
"0349569","WA","$0.36","$0.00","$0.36"
"0349569","WA","$2.19","$0.00","$2.19"
"0349878","WA","$92.00","$0.00","$92.00"
"0349880","WA","$1.17","$0.00","$1.17"
"0349880","WA","$2.75","$0.00","$2.75"
"0349880","WA","$1.48","$0.00","$1.48"
"0349880","WA","$1.02","$0.00","$1.02"
"0349880","WA","$2.66","$0.00","$2.66"
"0348371","SD","$3.65","$0.00","$3.65"
"0348371","SD","$0.51","$1.02","$-0.51"
"0348371","SD","$0.42","$0.84","$-0.42"
"0348371","SD","$0.27","$0.53","$-0.26"
"0348371","SD","$1.66","$3.32","$-1.66"
"0348371","SD","$1.19","$0.00","$1.19"
"0348371","SD","$0.80","$0.00","$0.80"
"0348371","SD","$0.44","$0.00","$0.44"
"0348371","SD","$1.00","$0.00","$1.00"
"0348371","SD","$1.46","$0.00","$1.46"
"0348371","SD","$1.40","$0.00","$1.40"
"0348374","SD","$1.52","$0.00","$1.52"
"0348374","SD","$0.81","$0.00","$0.81"
"0348374","SD","$0.50","$0.00","$0.50"
"0348374","SD","$0.40","$0.00","$0.40"
"0349406","SD","$21.83","$0.00","$21.83"
"0349406","SD","$0.49","$0.00","$0.49"
"0349406","SD","$2.01","$0.00","$2.01"
"0349406","SD","$1.60","$0.00","$1.60"
"0349406","SD","$1.38","$0.00","$1.38"
"0348371","SD","$3.23","$0.00","$3.23"
"0348371","SD","$16.00","$0.00","$16.00"
"0348371","SD","$2.27","$2.27","$0.00"
"0348374","SD","$0.08","$0.00","$0.08"
"0349060","AZ","$24.90","$0.00","$24.90"
"0349060","AZ","$8.65","$0.00","$8.65"
"0349060","AZ","$9.40","$0.00","$9.40"
"0349060","AZ","$27.36","$0.00","$27.36"
"0348197","MT","$0.48","$0.00","$0.48"
"0348197","MT","$0.60","$0.00","$0.60"
"0348197","MT","$1.28","$0.00","$1.28"
"0348204","UT","$0.66","$0.00","$0.66"
"0348204","UT","$0.38","$0.00","$0.38"
"0348204","UT","$0.42","$0.00","$0.42"
"0348204","UT","$0.32","$0.00","$0.32"
"0348756","UT","$0.40","$0.00","$0.40"
"0348756","UT","$0.56","$0.00","$0.56"
"0348756","UT","$1.17","$0.00","$1.17"
"0348756","UT","$1.00","$0.00","$1.00"
"0348756","UT","$0.40","$0.00","$0.40"
